Metro Area,Tract,Population,Land Area
Abbotsford - Mission,9320001.00,3100.0,26.37
Abbotsford - Mission,9320002.00,1226.0,8.8
Abbotsford - Mission,9320003.00,7963.0,2.17
Abbotsford - Mission,9320004.00,7591.0,1.9
Abbotsford - Mission,9320005.01,4019.0,1.26
Abbotsford - Mission,9320005.02,7528.0,1.65
Abbotsford - Mission,9320006.00,7354.0,2.22
Abbotsford - Mission,9320007.01,4143.0,0.68
Abbotsford - Mission,9320007.02,5731.0,0.87
Abbotsford - Mission,9320008.03,6406.0,2.35
Abbotsford - Mission,9320008.04,6748.0,1.99
Abbotsford - Mission,9320008.05,4818.0,1.07
Abbotsford - Mission,9320008.06,3466.0,0.9
Abbotsford - Mission,9320009.01,7146.0,2.48
Abbotsford - Mission,9320009.02,5932.0,4.57
Abbotsford - Mission,9320010.00,38.0,1.45
Abbotsford - Mission,9320011.00,7362.0,4.78
Abbotsford - Mission,9320012.01,5637.0,2.26
Abbotsford - Mission,9320012.02,4489.0,2.72
Abbotsford - Mission,9320013.01,119.0,1.36
Abbotsford - Mission,9320013.02,3518.0,55.94
Abbotsford - Mission,9320014.01,6771.0,83.03
Abbotsford - Mission,9320014.02,5135.0,15.09
Abbotsford - Mission,9320100.00,3403.0,95.19
Abbotsford - Mission,9320101.00,2879.0,7.91
Abbotsford - Mission,9320102.00,5388.0,1.32
Abbotsford - Mission,9320103.00,1988.0,0.86
Abbotsford - Mission,9320104.00,5341.0,2.23
Abbotsford - Mission,9320105.00,4527.0,2.3
Abbotsford - Mission,9320106.03,232.0,2.56
Abbotsford - Mission,9320106.04,4704.0,2.86
Abbotsford - Mission,9320106.05,4189.0,2.13
Abbotsford - Mission,9320106.06,4984.0,36.0
Abbotsford - Mission,9320200.00,3919.0,4.02
Abbotsford - Mission,9320201.01,4823.0,1.82
Abbotsford - Mission,9320201.02,4462.0,1.45
Abbotsford - Mission,9320202.00,7926.0,3.02
Abbotsford - Mission,9320203.00,3070.0,6.25
Abbotsford - Mission,9320204.00,3787.0,7.07
Abbotsford - Mission,9320205.00,8648.0,15.29
Abbotsford - Mission,9320206.01,2830.0,162.85
Abbotsford - Mission,9320206.02,332.0,0.48
Abbotsford - Mission,9320207.00,2054.0,25.22
Barrie,5680001.01,8090.0,3.86
Barrie,5680001.02,6102.0,2.62
Barrie,5680001.04,6207.0,3.09
Barrie,5680001.05,4966.0,1.27
Barrie,5680001.06,841.0,1.61
Barrie,5680001.07,8198.0,2.16
Barrie,5680002.00,1329.0,7.93
Barrie,5680003.00,2367.0,5.87
Barrie,5680004.01,4780.0,1.69
Barrie,5680004.03,3670.0,1.58
Barrie,5680004.04,5973.0,2.36
Barrie,5680004.05,6371.0,4.85
Barrie,5680004.06,6283.0,3.4
Barrie,5680004.07,3610.0,0.9
Barrie,5680005.00,7036.0,3.53
Barrie,5680006.00,4166.0,1.5
Barrie,5680007.00,3665.0,2.71
Barrie,5680008.00,5945.0,5.39
Barrie,5680009.00,6070.0,1.84
Barrie,5680010.00,4222.0,1.16
Barrie,5680011.01,7479.0,2.49
Barrie,5680011.02,2310.0,1.69
Barrie,5680012.01,3132.0,1.2
Barrie,5680012.02,6003.0,1.82
Barrie,5680013.00,6714.0,2.28
Barrie,5680014.00,5064.0,2.1
Barrie,5680015.01,4098.0,1.68
Barrie,5680015.02,2455.0,0.79
Barrie,5680015.03,3896.0,1.07
Barrie,5680016.00,5558.0,2.97
Barrie,5680100.00,5523.0,19.92
Barrie,5680101.00,5621.0,170.91
Barrie,5680102.01,3076.0,19.12
Barrie,5680102.02,304.0,8.67
Barrie,5680102.03,2626.0,22.67
Barrie,5680102.04,925.0,12.98
Barrie,5680103.03,715.0,6.11
Barrie,5680103.04,3301.0,1.35
Barrie,5680103.05,4144.0,3.17
Barrie,5680103.06,6880.0,2.57
Barrie,5680103.07,3868.0,2.34
Barrie,5680103.08,3711.0,2.41
Barrie,5680104.00,3861.0,11.83
Barrie,5680200.00,5132.0,68.87
Barrie,5680201.00,8383.0,184.73
Barrie,5680202.01,5533.0,279.42
Barrie,5680202.02,2653.0,2.84
Belleville - Quinte West,5220001.00,1365.0,4.13
Belleville - Quinte West,5220002.00,3089.0,1.92
Belleville - Quinte West,5220003.00,2256.0,1.34
Belleville - Quinte West,5220004.00,4291.0,1.71
Belleville - Quinte West,5220005.00,1314.0,0.98
Belleville - Quinte West,5220006.00,6042.0,2.15
Belleville - Quinte West,5220007.00,7610.0,7.7
Belleville - Quinte West,5220008.00,3272.0,1.49
Belleville - Quinte West,5220009.00,2346.0,1.5
Belleville - Quinte West,5220010.00,15.0,8.41
Belleville - Quinte West,5220011.00,4009.0,2.41
Belleville - Quinte West,5220012.00,7170.0,2.94
Belleville - Quinte West,5220013.00,0.0,2.71
Belleville - Quinte West,5220014.00,28.0,2.24
Belleville - Quinte West,5220015.00,75.0,1.33
Belleville - Quinte West,5220200.00,2372.0,88.23
Belleville - Quinte West,5220201.00,6652.0,25.53
Belleville - Quinte West,5220202.00,3165.0,90.42
Belleville - Quinte West,5220300.00,4229.0,14.88
Belleville - Quinte West,5220301.00,1635.0,7.69
Belleville - Quinte West,5220302.00,4592.0,113.21
Belleville - Quinte West,5220303.00,3859.0,109.84
Belleville - Quinte West,5220304.00,4773.0,54.41
Belleville - Quinte West,5220400.00,2491.0,2.75
Belleville - Quinte West,5220401.00,5084.0,2.61
Belleville - Quinte West,5220402.00,256.0,0.34
Belleville - Quinte West,5220403.00,4099.0,2.62
Belleville - Quinte West,5220404.00,2049.0,1.98
Belleville - Quinte West,5220405.00,0.0,2.07
Belleville - Quinte West,5220406.00,4274.0,1.86
Belleville - Quinte West,5220407.00,0.0,0.95
Belleville - Quinte West,5220500.00,5912.0,62.87
Belleville - Quinte West,5220501.00,3307.0,117.36
Belleville - Quinte West,5220600.00,4538.0,312.42
Belleville - Quinte West,5220700.00,5015.0,282.48
Brantford,5430001.00,6862.0,7.72
Brantford,5430002.01,5815.0,6.06
Brantford,5430002.02,3255.0,3.67
Brantford,5430002.04,6478.0,1.82
Brantford,5430002.05,5338.0,2.51
Brantford,5430002.06,820.0,5.74
Brantford,5430003.00,5235.0,3.5
Brantford,5430004.00,933.0,10.79
Brantford,5430005.00,4033.0,1.58
Brantford,5430006.00,1869.0,0.51
Brantford,5430007.00,3433.0,0.76
Brantford,5430008.00,3000.0,1.55
Brantford,5430009.00,5487.0,2.7
Brantford,5430010.00,4756.0,1.6
Brantford,5430011.01,4403.0,7.27
Brantford,5430011.02,4002.0,6.01
Brantford,5430011.03,4543.0,1.47
Brantford,5430012.00,6317.0,2.56
Brantford,5430013.00,4842.0,2.49
Brantford,5430014.01,5420.0,2.93
Brantford,5430014.02,7002.0,3.31
Brantford,5430014.03,5828.0,1.71
Brantford,5430014.04,4732.0,1.49
Brantford,5430100.00,4289.0,85.51
Brantford,5430101.00,3062.0,101.75
Brantford,5430102.00,285.0,18.89
Brantford,5430110.01,6332.0,5.87
Brantford,5430110.02,6921.0,8.35
Brantford,5430200.00,1820.0,86.45
Brantford,5430201.00,9282.0,206.33
Brantford,5430202.00,7768.0,323.38
Brantford,5430203.00,,157.7
Calgary,8250001.01,5001.0,1.7
Calgary,8250001.02,6257.0,3.66
Calgary,8250001.03,2043.0,1.05
Calgary,8250001.04,5549.0,2.53
Calgary,8250001.05,2854.0,1.15
Calgary,8250001.06,3652.0,3.39
Calgary,8250001.07,5895.0,2.93
Calgary,8250001.08,5134.0,3.63
Calgary,8250001.09,5895.0,3.48
Calgary,8250001.10,2669.0,2.68
Calgary,8250001.11,4864.0,7.92
Calgary,8250001.13,4476.0,1.42
Calgary,8250001.14,2449.0,2.0
Calgary,8250001.17,4273.0,2.65
Calgary,8250001.22,4076.0,3.27
Calgary,8250001.23,3083.0,1.13
Calgary,8250001.25,6754.0,1.65
Calgary,8250001.28,4153.0,1.17
Calgary,8250001.29,4451.0,1.09
Calgary,8250001.30,6247.0,1.86
Calgary,8250001.32,5582.0,1.8
Calgary,8250001.33,3043.0,1.0
Calgary,8250001.35,4584.0,17.5
Calgary,8250001.37,4666.0,0.76
Calgary,8250001.38,5637.0,1.27
Calgary,8250001.39,6910.0,4.95
Calgary,8250001.40,2169.0,0.38
Calgary,8250001.41,2730.0,1.47
Calgary,8250001.42,6933.0,9.99
Calgary,8250001.43,5036.0,1.04
Calgary,8250001.44,2662.0,0.57
Calgary,8250001.45,3897.0,3.1
Calgary,8250001.46,4799.0,1.0
Calgary,8250001.47,3391.0,4.21
Calgary,8250001.48,7975.0,5.88
Calgary,8250001.49,4303.0,2.76
Calgary,8250001.50,2159.0,1.53
Calgary,8250002.02,7245.0,30.75
Calgary,8250002.04,755.0,80.78
Calgary,8250002.06,3830.0,2.13
Calgary,8250002.07,4680.0,2.1
Calgary,8250002.08,4347.0,1.59
Calgary,8250002.09,3626.0,1.12
Calgary,8250002.10,3999.0,1.83
Calgary,8250002.11,3775.0,2.35
Calgary,8250002.12,1890.0,0.56
Calgary,8250002.14,4786.0,2.12
Calgary,8250002.15,4274.0,3.13
Calgary,8250002.17,2525.0,0.79
Calgary,8250002.18,6690.0,1.71
Calgary,8250002.22,5060.0,2.47
Calgary,8250002.24,3930.0,0.85
Calgary,8250002.25,4612.0,1.18
Calgary,8250002.26,3596.0,1.02
Calgary,8250002.27,4219.0,0.86
Calgary,8250002.28,5233.0,0.73
Calgary,8250002.29,4471.0,1.22
Calgary,8250002.30,5101.0,1.22
Calgary,8250002.31,4380.0,1.92
Calgary,8250002.32,3495.0,1.08
Calgary,8250002.33,2938.0,0.83
Calgary,8250002.34,5009.0,1.35
Calgary,8250002.35,3409.0,0.63
Calgary,8250002.36,3445.0,0.5
Calgary,8250002.37,3317.0,1.17
Calgary,8250002.38,14189.0,20.02
Calgary,8250002.39,6662.0,1.84
Calgary,8250002.40,9200.0,3.91
Calgary,8250003.00,3296.0,10.04
Calgary,8250004.00,3088.0,1.99
Calgary,8250005.00,2104.0,1.79
Calgary,8250006.00,6092.0,2.22
Calgary,8250007.01,5706.0,1.96
Calgary,8250007.02,5943.0,2.04
Calgary,8250007.03,5623.0,4.99
Calgary,8250007.05,672.0,0.83
Calgary,8250007.06,3401.0,0.98
Calgary,8250007.07,1586.0,0.95
Calgary,8250008.00,2849.0,1.21
Calgary,8250009.00,2502.0,0.98
Calgary,8250010.00,7208.0,1.89
Calgary,8250011.00,3182.0,1.34
Calgary,8250012.00,3909.0,2.16
Calgary,8250013.00,4700.0,1.33
Calgary,8250014.00,5008.0,3.74
Calgary,8250015.00,3541.0,4.04
Calgary,8250016.00,4544.0,1.64
Calgary,8250017.01,5133.0,1.74
Calgary,8250017.03,3485.0,0.82
Calgary,8250017.04,4512.0,2.09
Calgary,8250017.05,3541.0,1.72
Calgary,8250017.06,5240.0,1.66
Calgary,8250018.01,2994.0,1.09
Calgary,8250018.02,2121.0,0.64
Calgary,8250019.00,5052.0,1.54
Calgary,8250020.00,5160.0,1.23
Calgary,8250021.01,2775.0,0.61
Calgary,8250021.02,1942.0,0.61
Calgary,8250022.01,5069.0,2.09
Calgary,8250022.02,3290.0,1.88
Calgary,8250023.00,5243.0,1.88
Calgary,8250024.00,7127.0,1.5
Calgary,8250025.00,5355.0,1.33
Calgary,8250026.00,3396.0,0.4
Calgary,8250027.01,3136.0,0.26
Calgary,8250027.02,1760.0,0.74
Calgary,8250027.03,1771.0,0.33
Calgary,8250028.00,4039.0,1.92
Calgary,8250029.00,7156.0,2.68
Calgary,8250030.00,4869.0,5.35
Calgary,8250031.01,5244.0,0.8
Calgary,8250031.02,4558.0,0.47
Calgary,8250032.00,2218.0,7.1
Calgary,8250033.01,3168.0,2.08
Calgary,8250033.02,5316.0,7.81
Calgary,8250034.00,4380.0,5.34
Calgary,8250035.01,6896.0,2.77
Calgary,8250035.02,1680.0,0.85
Calgary,8250036.01,3544.0,0.94
Calgary,8250036.02,3364.0,0.98
Calgary,8250037.00,4149.0,1.34
Calgary,8250038.02,3818.0,1.11
Calgary,8250038.03,4192.0,1.29
Calgary,8250038.04,6120.0,1.52
Calgary,8250038.05,4729.0,1.2
Calgary,8250038.06,6561.0,2.18
Calgary,8250038.07,4560.0,1.39
Calgary,8250038.08,4740.0,1.36
Calgary,8250038.10,5362.0,1.48
Calgary,8250038.11,5187.0,1.13
Calgary,8250038.12,5058.0,1.35
Calgary,8250038.13,5252.0,1.34
Calgary,8250038.14,5635.0,1.32
Calgary,8250038.15,6021.0,1.29
Calgary,8250038.17,6039.0,1.43
Calgary,8250038.18,6127.0,1.23
Calgary,8250038.20,6835.0,1.58
Calgary,8250038.21,5272.0,1.4
Calgary,8250038.22,4557.0,2.58
Calgary,8250038.23,5004.0,1.28
Calgary,8250038.24,5806.0,2.57
Calgary,8250038.25,4910.0,1.32
Calgary,8250038.27,5718.0,1.62
Calgary,8250038.28,4179.0,0.71
Calgary,8250038.30,5413.0,0.96
Calgary,8250038.35,10067.0,32.24
Calgary,8250038.36,13230.0,10.6
Calgary,8250038.37,6647.0,0.78
Calgary,8250038.38,7414.0,0.84
Calgary,8250038.39,3651.0,0.51
Calgary,8250038.40,4671.0,0.44
Calgary,8250038.41,3859.0,0.89
Calgary,8250038.42,3674.0,0.52
Calgary,8250038.43,4968.0,0.7
Calgary,8250038.44,4273.0,0.51
Calgary,8250038.45,4272.0,0.68
Calgary,8250038.46,4210.0,0.55
Calgary,8250038.47,4980.0,2.69
Calgary,8250038.48,4533.0,0.7
Calgary,8250038.49,4521.0,0.97
Calgary,8250039.00,6753.0,4.7
Calgary,8250040.00,5937.0,3.93
Calgary,8250041.00,6860.0,2.12
Calgary,8250042.01,5345.0,0.87
Calgary,8250042.02,980.0,0.55
Calgary,8250043.00,7563.0,1.63
Calgary,8250044.00,9322.0,0.8
Calgary,8250045.01,3471.0,0.19
Calgary,8250045.02,6252.0,0.39
Calgary,8250046.01,7333.0,0.57
Calgary,8250046.02,4579.0,1.74
Calgary,8250047.00,5298.0,1.59
Calgary,8250048.00,6323.0,2.98
Calgary,8250049.01,4195.0,3.31
Calgary,8250049.04,3383.0,1.23
Calgary,8250049.05,4169.0,2.08
Calgary,8250049.06,4262.0,1.68
Calgary,8250049.07,2084.0,0.8
Calgary,8250050.01,3998.0,1.72
Calgary,8250050.07,3105.0,2.7
Calgary,8250050.10,8059.0,2.44
Calgary,8250050.12,6602.0,3.8
Calgary,8250050.13,3311.0,2.97
Calgary,8250050.14,4256.0,3.48
Calgary,8250050.15,3573.0,2.62
Calgary,8250050.16,5568.0,2.67
Calgary,8250050.17,5431.0,5.1
Calgary,8250050.18,2351.0,3.46
Calgary,8250050.19,7038.0,4.77
Calgary,8250050.20,63.0,1.3
Calgary,8250050.21,2334.0,0.89
Calgary,8250050.22,4038.0,1.92
Calgary,8250051.00,5022.0,2.24
Calgary,8250052.01,3867.0,2.12
Calgary,8250052.02,3542.0,1.64
Calgary,8250052.03,3626.0,3.43
Calgary,8250052.04,4613.0,1.96
Calgary,8250052.06,3938.0,2.58
Calgary,8250052.07,4088.0,1.97
Calgary,8250052.09,6045.0,1.41
Calgary,8250052.10,4806.0,1.37
Calgary,8250052.11,5087.0,2.43
Calgary,8250052.12,4048.0,9.44
Calgary,8250053.00,6081.0,3.14
Calgary,8250054.00,3868.0,1.26
Calgary,8250055.00,3130.0,1.88
Calgary,8250056.00,5738.0,1.59
Calgary,8250057.00,6018.0,2.31
Calgary,8250058.00,6615.0,1.96
Calgary,8250059.00,6876.0,1.54
Calgary,8250060.00,5088.0,2.03
Calgary,8250061.00,3267.0,38.13
Calgary,8250062.00,5452.0,1.48
Calgary,8250063.00,4799.0,1.34
Calgary,8250064.00,6135.0,1.97
Calgary,8250065.00,3832.0,1.43
Calgary,8250066.02,5422.0,2.17
Calgary,8250066.03,4031.0,2.0
Calgary,8250066.04,343.0,1.48
Calgary,8250067.00,3292.0,0.89
Calgary,8250068.00,2746.0,1.07
Calgary,8250069.00,2210.0,1.09
Calgary,8250070.00,2335.0,1.64
Calgary,8250071.00,3144.0,1.87
Calgary,8250072.00,6357.0,2.38
Calgary,8250073.00,2433.0,1.16
Calgary,8250074.00,3468.0,1.62
Calgary,8250075.01,3015.0,1.03
Calgary,8250075.02,4248.0,1.24
Calgary,8250076.01,2787.0,0.86
Calgary,8250076.02,3227.0,1.11
Calgary,8250076.03,4333.0,1.66
Calgary,8250076.04,3914.0,1.5
Calgary,8250076.05,3256.0,1.17
Calgary,8250076.06,4382.0,1.09
Calgary,8250076.09,4795.0,1.55
Calgary,8250076.13,7720.0,3.54
Calgary,8250076.14,5816.0,1.79
Calgary,8250076.15,2156.0,0.58
Calgary,8250076.19,3314.0,1.59
Calgary,8250076.20,3702.0,1.82
Calgary,8250076.23,4629.0,0.91
Calgary,8250076.24,5502.0,1.5
Calgary,8250076.25,3851.0,1.1
Calgary,8250076.26,7336.0,1.61
Calgary,8250076.27,4315.0,1.16
Calgary,8250076.28,3713.0,0.84
Calgary,8250076.29,2920.0,1.54
Calgary,8250076.30,7253.0,1.51
Calgary,8250076.31,6906.0,2.06
Calgary,8250076.32,3857.0,0.67
Calgary,8250076.33,4164.0,0.91
Calgary,8250076.34,3592.0,0.82
Calgary,8250076.35,4338.0,4.39
Calgary,8250076.36,0.0,3.94
Calgary,8250076.37,4846.0,2.32
Calgary,8250076.38,2414.0,0.67
Calgary,8250076.39,2731.0,0.94
Calgary,8250077.01,2428.0,1.45
Calgary,8250077.02,5547.0,1.87
Calgary,8250077.03,3070.0,1.47
Calgary,8250077.04,5087.0,1.47
Calgary,8250077.06,4208.0,2.32
Calgary,8250077.13,3318.0,1.25
Calgary,8250077.14,3726.0,1.03
Calgary,8250077.16,6149.0,2.47
Calgary,8250077.17,5002.0,1.89
Calgary,8250077.19,4718.0,12.98
Calgary,8250077.20,5162.0,1.91
Calgary,8250077.21,5435.0,2.86
Calgary,8250077.22,5019.0,1.8
Calgary,8250077.23,5668.0,2.42
Calgary,8250077.24,4528.0,1.38
Calgary,8250077.25,5891.0,6.66
Calgary,8250077.26,5705.0,1.87
Calgary,8250077.27,4358.0,1.31
Calgary,8250077.28,4061.0,1.42
Calgary,8250077.30,5695.0,1.92
Calgary,8250077.31,3272.0,2.0
Calgary,8250077.32,4070.0,1.71
Calgary,8250077.33,3497.0,18.41
Calgary,8250077.34,3376.0,0.78
Calgary,8250077.35,1834.0,0.41
Calgary,8250077.36,3371.0,0.84
Calgary,8250077.37,4579.0,1.05
Calgary,8250077.38,3395.0,1.53
Calgary,8250077.39,5397.0,1.28
Calgary,8250077.40,2144.0,0.91
Calgary,8250077.41,2289.0,0.87
Calgary,8250200.02,,282.44
Calgary,8250200.03,2428.0,424.32
Calgary,8250200.05,5030.0,107.74
Calgary,8250200.06,5088.0,62.77
Calgary,8250201.01,7440.0,246.3
Calgary,8250201.02,4225.0,844.49
Calgary,8250202.01,3914.0,30.4
Calgary,8250202.02,780.0,51.3
Calgary,8250202.03,3599.0,11.89
Calgary,8250202.04,2807.0,465.34
Calgary,8250203.00,4012.0,960.24
Calgary,8250204.01,6722.0,304.85
Calgary,8250204.03,5209.0,418.88
Calgary,8250204.06,3271.0,8.78
Calgary,8250204.07,1593.0,4.9
Calgary,8250204.08,1554.0,2.29
Calgary,8250204.09,6246.0,1.99
Calgary,8250204.10,387.0,5.11
Calgary,8250204.11,0.0,4.93
Calgary,8250204.12,5290.0,2.47
Calgary,8250204.13,3822.0,2.36
Calgary,8250205.02,3320.0,2.62
Calgary,8250205.04,4005.0,5.28
Calgary,8250205.05,3776.0,1.84
Calgary,8250205.06,3054.0,1.31
Calgary,8250205.07,6052.0,2.86
Calgary,8250205.08,4885.0,7.54
Calgary,8250205.09,7107.0,10.13
Calgary,8250206.02,3128.0,1.33
Calgary,8250206.05,7690.0,2.75
Calgary,8250206.06,7078.0,2.56
Calgary,8250206.07,7132.0,2.48
Calgary,8250206.08,9299.0,5.2
Calgary,8250206.09,8421.0,3.95
Calgary,8250206.10,7230.0,2.09
Calgary,8250206.11,6403.0,1.92
Calgary,8250207.01,4540.0,3.5
Calgary,8250207.03,6583.0,5.4
Calgary,8250207.04,5816.0,1.9
Chilliwack,9300001.00,4105.0,3.45
Chilliwack,9300002.02,3691.0,1.5
Chilliwack,9300003.00,1980.0,0.48
Chilliwack,9300004.00,1764.0,0.55
Chilliwack,9300005.00,3537.0,0.88
Chilliwack,9300006.00,2678.0,0.84
Chilliwack,9300007.00,4841.0,2.17
Chilliwack,9300008.00,4509.0,3.36
Chilliwack,9300009.00,602.0,2.24
Chilliwack,9300010.00,2629.0,0.58
Chilliwack,9300011.01,295.0,0.72
Chilliwack,9300011.02,4068.0,1.68
Chilliwack,9300012.01,245.0,1.16
Chilliwack,9300012.02,0.0,1.35
Chilliwack,9300012.03,89.0,2.59
Chilliwack,9300012.04,45.0,0.21
Chilliwack,9300012.05,158.0,1.35
Chilliwack,9300012.06,19.0,4.78
Chilliwack,9300012.07,102.0,3.83
Chilliwack,9300013.00,1801.0,6.44
Chilliwack,9300014.00,3027.0,42.22
Chilliwack,9300015.00,3780.0,24.7
Chilliwack,9300016.02,4608.0,53.24
Chilliwack,9300016.03,8960.0,5.0
Chilliwack,9300016.04,2550.0,1.2
Chilliwack,9300017.01,6148.0,2.94
Chilliwack,9300017.02,7125.0,1.47
Chilliwack,9300018.01,3089.0,2.64
Chilliwack,9300018.02,5257.0,2.24
Chilliwack,9300019.00,3945.0,2.58
Chilliwack,9300020.01,49.0,0.21
Chilliwack,9300020.02,983.0,0.72
Chilliwack,9300020.03,4794.0,3.86
Chilliwack,9300021.00,971.0,23.56
Chilliwack,9300022.00,1136.0,1.19
Chilliwack,9300023.01,5.0,0.96
Chilliwack,9300023.02,3357.0,60.52
Chilliwack,9300024.00,1219.0,3.84
Chilliwack,9300025.00,4027.0,749.3
Chilliwack,9300026.00,255.0,4.57
Chilliwack,9300027.00,5.0,0.87
Chilliwack,9300028.00,6300.0,168.59
Chilliwack,9300029.00,15.0,1.04
Chilliwack,9300030.00,800.0,16.61
Chilliwack,9300031.00,1905.0,5.49
Chilliwack,9300032.00,2092.0,219.38
Chilliwack,9300033.00,207.0,3.5
Chilliwack,9300034.00,0.0,1.45
Drummondville,4470001.01,5081.0,34.7
Drummondville,4470001.02,3396.0,1.89
Drummondville,4470002.00,4476.0,2.56
Drummondville,4470003.00,6966.0,4.22
Drummondville,4470004.00,3388.0,1.3
Drummondville,4470005.00,7707.0,8.34
Drummondville,4470006.00,5037.0,2.85
Drummondville,4470007.00,4278.0,1.18
Drummondville,4470008.00,7299.0,5.29
Drummondville,4470009.01,6489.0,2.92
Drummondville,4470009.02,4669.0,6.37
Drummondville,4470010.00,7385.0,20.2
Drummondville,4470011.00,4920.0,110.2
Drummondville,4470012.00,1801.0,110.99
Drummondville,4470013.00,1384.0,57.5
Drummondville,4470014.00,6191.0,5.16
Drummondville,4470015.00,6078.0,90.26
Drummondville,4470100.00,818.0,59.88
Drummondville,4470101.00,4922.0,87.47
Drummondville,4470102.00,2587.0,98.63
Drummondville,4470103.00,1708.0,4.2
Drummondville,4470104.00,885.0,87.49
Drummondville,4470105.00,804.0,48.29
Drummondville,4470106.00,1350.0,97.59
Drummondville,4470107.00,925.0,66.18
Drummondville,4470108.00,1066.0,78.72
Edmonton,8350001.01,52.0,6.63
Edmonton,8350001.02,2352.0,1.18
Edmonton,8350001.03,4805.0,1.89
Edmonton,8350001.04,1442.0,0.56
Edmonton,8350001.05,4817.0,1.29
Edmonton,8350001.06,5131.0,1.18
Edmonton,8350001.07,4876.0,2.83
Edmonton,8350002.01,3710.0,1.55
Edmonton,8350002.02,3392.0,1.23
Edmonton,8350002.03,2882.0,1.02
Edmonton,8350002.04,4301.0,0.96
Edmonton,8350002.05,2094.0,1.04
Edmonton,8350003.00,4150.0,2.59
Edmonton,8350004.01,1214.0,1.93
Edmonton,8350004.02,4246.0,3.35
Edmonton,8350005.01,1959.0,1.99
Edmonton,8350005.02,4036.0,2.5
Edmonton,8350005.07,3878.0,3.88
Edmonton,8350005.08,2667.0,1.14
Edmonton,8350005.09,3264.0,1.67
Edmonton,8350005.10,4108.0,1.63
Edmonton,8350005.11,3810.0,1.99
Edmonton,8350005.12,2045.0,0.84
Edmonton,8350005.13,4026.0,1.97
Edmonton,8350006.01,141.0,9.46
Edmonton,8350006.03,3564.0,0.89
Edmonton,8350006.04,2439.0,0.9
Edmonton,8350006.05,5311.0,2.05
Edmonton,8350006.06,5405.0,0.77
Edmonton,8350006.08,5714.0,1.93
Edmonton,8350006.09,5123.0,1.61
Edmonton,8350006.13,5120.0,2.72
Edmonton,8350006.14,2161.0,1.07
Edmonton,8350006.15,4578.0,1.58
Edmonton,8350006.16,1997.0,1.11
Edmonton,8350006.17,5417.0,2.3
Edmonton,8350006.18,3253.0,1.6
Edmonton,8350006.19,3710.0,4.34
Edmonton,8350006.20,1500.0,9.69
Edmonton,8350007.01,3473.0,1.36
Edmonton,8350007.02,6032.0,4.98
Edmonton,8350008.01,1618.0,1.1
Edmonton,8350008.02,2501.0,0.64
Edmonton,8350009.00,4718.0,3.77
Edmonton,8350010.00,3882.0,3.94
Edmonton,8350011.00,5732.0,1.73
Edmonton,8350012.01,4587.0,1.47
Edmonton,8350012.02,2779.0,1.94
Edmonton,8350013.00,4437.0,1.31
Edmonton,8350014.00,4586.0,1.66
Edmonton,8350015.01,5.0,2.05
Edmonton,8350015.02,3242.0,1.62
Edmonton,8350016.01,5.0,3.3
Edmonton,8350016.02,2971.0,1.61
Edmonton,8350017.00,3448.0,1.32
Edmonton,8350018.00,48.0,14.24
Edmonton,8350019.01,473.0,0.84
Edmonton,8350019.02,3386.0,1.42
Edmonton,8350020.00,6697.0,2.62
Edmonton,8350021.00,6206.0,1.63
Edmonton,8350022.00,4466.0,1.26
Edmonton,8350023.00,4847.0,4.26
Edmonton,8350024.01,1343.0,0.73
Edmonton,8350024.02,2360.0,1.44
Edmonton,8350025.00,3219.0,1.1
Edmonton,8350026.01,3389.0,1.1
Edmonton,8350026.02,2671.0,1.11
Edmonton,8350027.00,6823.0,2.1
Edmonton,8350028.00,6516.0,2.67
Edmonton,8350029.00,6197.0,3.12
Edmonton,8350030.00,6103.0,1.11
Edmonton,8350031.00,5062.0,1.17
Edmonton,8350032.01,5354.0,0.5
Edmonton,8350032.02,5565.0,0.85
Edmonton,8350033.01,5518.0,1.0
Edmonton,8350033.02,4142.0,0.88
Edmonton,8350034.01,1522.0,0.76
Edmonton,8350034.02,3257.0,0.56
Edmonton,8350034.03,2109.0,0.91
Edmonton,8350035.00,3381.0,1.7
Edmonton,8350036.00,3305.0,1.29
Edmonton,8350037.00,3969.0,1.6
Edmonton,8350038.00,3125.0,1.43
Edmonton,8350039.00,5064.0,3.28
Edmonton,8350040.00,4236.0,2.35
Edmonton,8350041.00,3495.0,2.4
Edmonton,8350042.01,3440.0,2.14
Edmonton,8350042.02,3252.0,1.54
Edmonton,8350043.00,2873.0,2.44
Edmonton,8350044.00,6551.0,1.48
Edmonton,8350045.00,1365.0,0.67
Edmonton,8350046.00,4802.0,1.38
Edmonton,8350047.00,7958.0,1.98
Edmonton,8350048.00,3580.0,1.15
Edmonton,8350049.00,3693.0,1.58
Edmonton,8350050.00,4345.0,1.43
Edmonton,8350051.01,1946.0,0.87
Edmonton,8350051.02,20.0,6.11
Edmonton,8350052.01,10.0,1.03
Edmonton,8350052.02,2770.0,1.29
Edmonton,8350053.00,7167.0,1.65
Edmonton,8350054.01,1281.0,1.15
Edmonton,8350054.02,31.0,1.26
Edmonton,8350054.03,1829.0,0.94
Edmonton,8350055.00,3810.0,0.91
Edmonton,8350056.00,4029.0,1.05
Edmonton,8350057.00,2029.0,1.82
Edmonton,8350058.00,6124.0,2.7
